Neighbourhood,City,Neighbourhood Number,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus,Americas,Brazil,Colombia,El Salvador,Guyana,Haiti,Jamaica,Mexico,Peru,Trinidad and Tobago,United States,Other places of birth in Americas,Europe,Bosnia and Herzegovina,Croatia,France,Germany,Greece,Hungary,Ireland,Italy,Netherlands,Poland,Portugal,Romania,Russian Federation,Serbia,Ukraine,United Kingdom,Other places of birth in Europe,Algeria,Egypt,Ethiopia,Kenya,Morocco,Nigeria,Somalia,South Africa; Republic of,Other places of birth in Africa,Asia,Afghanistan,Bangladesh,China,Hong Kong,India,Iran,Iraq,Japan,Korea; South,Lebanon,Pakistan,Philippines,Sri Lanka,Syria,Taiwan,Viet Nam,Other places of birth in Asia,Oceania and other places of birth,percent Americas,percent Brazil,percent Colombia,percent El Salvador,percent Guyana,percent Haiti,percent Jamaica,percent Mexico,percent Peru,percent Trinidad and Tobago,percent United States,percent Other places of birth in Americas,percent Europe,percent Bosnia and Herzegovina,percent Croatia,percent France,percent Germany,percent Greece,percent Hungary,percent Ireland,percent Italy,percent Netherlands,percent Poland,percent Portugal,percent Romania,percent Russian Federation,percent Serbia,percent Ukraine,percent United Kingdom,percent Other places of birth in Europe,percent Algeria,percent Egypt,percent Ethiopia,percent Kenya,percent Morocco,percent Nigeria,percent Somalia,percent South Africa; Republic of,percent Other places of birth in Africa,percent Asia,percent Afghanistan,percent Bangladesh,percent China,percent Hong Kong,percent India,percent Iran,percent Iraq,percent Japan,percent Korea; South,percent Lebanon,percent Pakistan,percent Philippines,percent Sri Lanka,percent Syria,percent Taiwan,percent Viet Nam,percent Other places of birth in Asia,percent Oceania and other places of birth
Runnymede-Bloor West Village,Toronto,89,10070,7390,0.733862959,210,0.020854022,2250,0.223435948,1495,0.148460775,8565,0.850546177,405,10,0,10,40,10,40,40,10,10,160,75,1335,0,80,30,55,60,10,10,75,30,175,90,15,30,40,80,180,375,0,30,10,0,10,10,0,50,10,440,0,0,65,25,30,35,0,25,25,20,15,100,15,0,10,45,40,40,0.040218471,0.000993049,0,0.000993049,0.003972195,0.000993049,0.003972195,0.003972195,0.000993049,0.000993049,0.015888779,0.007447865,0.132571996,0,0.007944389,0.002979146,0.005461768,0.005958292,0.000993049,0.000993049,0.007447865,0.002979146,0.017378352,0.008937438,0.001489573,0.002979146,0.003972195,0.007944389,0.017874876,0.037239325,0,0.002979146,0.000993049,0,0.000993049,0.000993049,0,0.004965243,0.000993049,0.043694141,0,0,0.006454816,0.002482622,0.002979146,0.00347567,0,0.002482622,0.002482622,0.001986097,0.001489573,0.009930487,0.001489573,0,0.000993049,0.004468719,0.003972195,0.003972195
Rustic,Toronto,28,9941,4745,0.477316165,50,0.005029675,4490,0.451664822,5120,0.515038728,4625,0.465244945,1640,0,40,135,160,10,590,15,30,80,40,540,1720,0,10,10,30,20,30,10,1070,0,10,390,30,20,10,10,35,45,0,10,105,90,0,45,350,10,340,810,10,10,0,0,70,10,0,0,0,10,0,265,125,10,0,240,65,0,0.164973343,0,0.00402374,0.013580123,0.01609496,0.001005935,0.059350166,0.001508903,0.003017805,0.00804748,0.00402374,0.054320491,0.173020823,0,0.001005935,0.001005935,0.003017805,0.00201187,0.003017805,0.001005935,0.107635047,0,0.001005935,0.039231466,0.003017805,0.00201187,0.001005935,0.001005935,0.003520773,0.004526708,0,0.001005935,0.010562318,0.009053415,0,0.004526708,0.035207726,0.001005935,0.034201791,0.081480736,0.001005935,0.001005935,0,0,0.007041545,0.001005935,0,0,0,0.001005935,0,0.026657278,0.012574188,0.001005935,0,0.02414244,0.006538578,0
Scarborough Village,Toronto,139,16724,8145,0.487024635,205,0.012257833,7250,0.43350873,9060,0.541736427,7390,0.441879933,2080,0,20,25,580,195,550,35,10,245,145,290,965,20,10,20,80,100,20,10,150,20,115,55,35,15,20,10,140,150,0,40,180,40,10,80,40,20,215,5290,340,870,205,85,740,100,25,10,20,10,565,825,1155,50,10,50,230,20,0.12437216,0,0.001195886,0.001494858,0.034680698,0.01165989,0.032886869,0.002092801,0.000597943,0.014649605,0.008670175,0.017340349,0.057701507,0.001195886,0.000597943,0.001195886,0.004783545,0.005979431,0.001195886,0.000597943,0.008969146,0.001195886,0.006876345,0.003288687,0.002092801,0.000896915,0.001195886,0.000597943,0.008371203,0.008969146,0,0.002391772,0.010762975,0.002391772,0.000597943,0.004783545,0.002391772,0.001195886,0.012855776,0.316311887,0.020330065,0.052021048,0.012257833,0.005082516,0.044247788,0.005979431,0.001494858,0.000597943,0.001195886,0.000597943,0.033783784,0.049330304,0.069062425,0.002989715,0.000597943,0.002989715,0.013752691,0.001195886
South Parkdale,Toronto,85,21849,11625,0.532060964,370,0.016934413,8020,0.367064854,10755,0.492242208,9895,0.452881139,1575,60,45,40,220,0,230,55,40,230,180,480,1835,20,70,45,50,10,125,55,40,0,505,145,50,35,70,65,240,285,10,20,315,10,10,0,10,35,330,4715,55,75,545,60,1130,65,35,50,55,10,100,1155,225,20,20,415,705,55,0.072085679,0.002746121,0.002059591,0.001830747,0.010069111,0,0.010526798,0.002517278,0.001830747,0.010526798,0.008238363,0.021968969,0.083985537,0.000915374,0.003203808,0.002059591,0.002288434,0.000457687,0.005721086,0.002517278,0.001830747,0,0.023113186,0.006636459,0.002288434,0.001601904,0.003203808,0.002974965,0.010984484,0.013044075,0.000457687,0.000915374,0.014417136,0.000457687,0.000457687,0,0.000457687,0.001601904,0.015103666,0.21579935,0.002517278,0.003432651,0.024943933,0.002746121,0.051718614,0.002974965,0.001601904,0.002288434,0.002517278,0.000457687,0.004576869,0.052862831,0.010297954,0.000915374,0.000915374,0.018994004,0.032266923,0.002517278
South Riverdale,Toronto,70,27876,17745,0.636569092,615,0.022061989,8305,0.297926532,9100,0.326445688,17960,0.644281819,1075,60,20,35,130,10,140,75,0,100,350,170,1390,10,10,45,90,75,30,85,35,20,85,145,30,30,30,75,485,125,0,40,15,10,0,20,55,45,150,5320,25,120,2620,325,240,70,30,50,85,10,85,370,10,0,40,895,330,85,0.038563639,0.002152389,0.000717463,0.00125556,0.00466351,0.000358732,0.005022241,0.002690486,0,0.003587315,0.012555603,0.006098436,0.049863682,0.000358732,0.000358732,0.001614292,0.003228584,0.002690486,0.001076195,0.003049218,0.00125556,0.000717463,0.003049218,0.005201607,0.001076195,0.001076195,0.001076195,0.002690486,0.017398479,0.004484144,0,0.001434926,0.000538097,0.000358732,0,0.000717463,0.001973023,0.001614292,0.005380973,0.190845171,0.000896829,0.004304778,0.09398766,0.011658775,0.008609557,0.002511121,0.001076195,0.001793658,0.003049218,0.000358732,0.003049218,0.013273066,0.000358732,0,0.001434926,0.032106472,0.01183814,0.003049218
St.Andrew-Windfields,Toronto,40,17812,8505,0.477487087,235,0.013193353,8525,0.478609926,4620,0.259375702,13050,0.732652145,845,30,70,20,70,0,140,70,15,65,230,170,1660,60,40,45,105,60,95,20,75,10,80,45,275,130,75,70,250,210,0,115,20,40,20,30,15,125,130,5825,10,80,1665,720,260,1075,30,60,590,75,95,325,105,25,185,35,500,10,0.047439928,0.001684258,0.003929935,0.001122839,0.003929935,0,0.00785987,0.003929935,0.000842129,0.003649225,0.012912643,0.009544128,0.093195598,0.003368516,0.002245677,0.002526387,0.005894902,0.003368516,0.005333483,0.001122839,0.004210645,0.000561419,0.004491354,0.002526387,0.01543903,0.00729845,0.004210645,0.003929935,0.014035482,0.011789805,0,0.006456322,0.001122839,0.002245677,0.001122839,0.001684258,0.000842129,0.007017741,0.00729845,0.327026724,0.000561419,0.004491354,0.093476308,0.040422187,0.014596901,0.060352571,0.001684258,0.003368516,0.033123737,0.004210645,0.005333483,0.018246126,0.005894902,0.001403548,0.010386256,0.001964967,0.028070963,0.000561419
Steeles,Toronto,116,24623,4580,0.186004955,95,0.003858181,18790,0.763107664,11025,0.447752102,13235,0.537505584,690,10,0,0,165,0,180,0,10,120,35,160,755,0,0,20,50,275,0,0,225,10,20,0,10,20,0,0,90,55,0,165,0,70,0,10,10,20,405,15300,55,25,9230,3050,430,95,40,20,90,90,165,480,270,60,300,375,550,20,0.028022581,0.000406124,0,0,0.006701052,0,0.007310238,0,0.000406124,0.004873492,0.001421435,0.00649799,0.030662389,0,0,0.000812249,0.002030622,0.01116842,0,0,0.009137798,0.000406124,0.000812249,0,0.000406124,0.000812249,0,0,0.003655119,0.002233684,0,0.006701052,0,0.00284287,0,0.000406124,0.000406124,0.000812249,0.016448036,0.621370264,0.002233684,0.001015311,0.37485278,0.123867928,0.017463347,0.003858181,0.001624497,0.000812249,0.003655119,0.003655119,0.006701052,0.019493969,0.010965358,0.002436746,0.012183731,0.015229663,0.02233684,0.000812249
Stonegate-Queensway,Toronto,16,25051,14565,0.581413916,415,0.016566205,9315,0.371841443,5790,0.231128498,19110,0.762843799,940,85,30,20,30,15,100,80,20,85,205,270,5520,130,140,50,160,40,120,75,460,35,1120,375,130,275,335,860,570,655,20,25,10,20,10,0,0,30,125,1915,20,10,190,60,425,65,0,30,125,15,30,340,70,0,30,115,350,45,0.037523452,0.003393078,0.001197557,0.000798371,0.001197557,0.000598778,0.003991857,0.003193485,0.000798371,0.003393078,0.008183306,0.010778013,0.220350485,0.005189414,0.005588599,0.001995928,0.006386971,0.001596743,0.004790228,0.002993892,0.01836254,0.00139715,0.044708794,0.014969462,0.005189414,0.010977606,0.01337272,0.034329967,0.022753583,0.026146661,0.000798371,0.000997964,0.000399186,0.000798371,0.000399186,0,0,0.001197557,0.004989821,0.076444054,0.000798371,0.000399186,0.007584528,0.002395114,0.016965391,0.002594707,0,0.001197557,0.004989821,0.000598778,0.001197557,0.013572312,0.0027943,0,0.001197557,0.004590635,0.013971498,0.001796335
Tam O'Shanter-Sullivan,Toronto,118,27446,9480,0.345405524,230,0.008380092,16015,0.583509437,11695,0.426109451,15330,0.558551337,1775,0,30,50,370,10,540,20,20,240,115,335,1620,45,0,25,50,340,55,20,235,35,35,30,150,35,40,10,335,185,0,155,30,75,0,30,70,35,320,12575,115,100,4670,1325,1075,125,230,85,200,165,725,1675,1015,210,115,275,495,20,0.064672448,0,0.001093055,0.001821759,0.013481017,0.000364352,0.019674998,0.000728704,0.000728704,0.008744444,0.004190046,0.012205786,0.059024995,0.001639583,0,0.00091088,0.001821759,0.012387962,0.002003935,0.000728704,0.008562268,0.001275231,0.001275231,0.001093055,0.005465277,0.001275231,0.001457407,0.000364352,0.012205786,0.006740509,0,0.005647453,0.001093055,0.002732639,0,0.001093055,0.002550463,0.001275231,0.011659258,0.458172411,0.004190046,0.003643518,0.170152299,0.048276616,0.03916782,0.004554398,0.008380092,0.00309699,0.007287036,0.006011805,0.026415507,0.06102893,0.03698171,0.007651388,0.004190046,0.010019675,0.018035415,0.000728704
Taylor-Massey,Toronto,61,15683,6240,0.397883058,180,0.011477396,8160,0.520308614,8695,0.554421986,6795,0.433271695,870,30,10,0,135,20,170,30,10,110,120,220,1205,60,25,10,45,70,10,0,45,10,35,50,210,55,30,30,145,370,0,30,245,55,25,45,35,10,440,5740,110,2560,255,130,685,65,0,35,75,10,640,470,150,30,15,60,465,10,0.05547408,0.001912899,0.000637633,0,0.008608047,0.001275266,0.010839763,0.001912899,0.000637633,0.007013964,0.007651597,0.014027928,0.076834789,0.003825799,0.001594083,0.000637633,0.002869349,0.004463432,0.000637633,0,0.002869349,0.000637633,0.002231716,0.003188166,0.013390295,0.003506982,0.001912899,0.001912899,0.00924568,0.023592425,0,0.001912899,0.015622011,0.003506982,0.001594083,0.002869349,0.002231716,0.000637633,0.028055857,0.366001403,0.007013964,0.163234075,0.016259644,0.00828923,0.043677868,0.004144615,0,0.002231716,0.004782248,0.000637633,0.040808519,0.029968756,0.009564497,0.001912899,0.00095645,0.003825799,0.029649939,0.000637633
The Beaches,Toronto,63,21567,18200,0.843881857,555,0.02573376,2460,0.114063152,3685,0.170862892,17755,0.823248481,920,10,15,10,65,0,50,65,20,50,485,150,2240,20,35,85,195,55,45,125,65,60,105,35,35,90,30,30,995,245,0,15,0,30,0,0,0,100,40,805,0,20,110,45,80,55,10,40,45,10,30,115,25,0,30,35,185,65,0.042657764,0.000463671,0.000695507,0.000463671,0.003013864,0,0.002318357,0.003013864,0.000927343,0.002318357,0.02248806,0.00695507,0.103862382,0.000927343,0.00162285,0.003941206,0.009041591,0.002550192,0.002086521,0.005795892,0.003013864,0.002782028,0.004868549,0.00162285,0.00162285,0.004173042,0.001391014,0.001391014,0.046135299,0.011359948,0,0.000695507,0,0.001391014,0,0,0,0.004636713,0.001854685,0.037325544,0,0.000927343,0.005100385,0.002086521,0.003709371,0.002550192,0.000463671,0.001854685,0.002086521,0.000463671,0.001391014,0.005332221,0.001159178,0,0.001391014,0.00162285,0.00857792,0.003013864
Thistletown-Beaumond Heights,Toronto,3,10360,4405,0.42519305,85,0.008204633,5150,0.497104247,4165,0.402027027,5955,0.57480695,1205,0,75,50,215,30,275,65,25,130,70,265,1140,20,55,0,75,40,20,0,430,10,145,70,25,20,15,30,95,100,10,10,10,20,0,65,60,10,275,2655,55,60,45,0,1100,15,425,0,15,30,285,220,120,50,0,115,85,10,0.116312741,0,0.007239382,0.004826255,0.020752896,0.002895753,0.026544402,0.006274131,0.002413127,0.012548263,0.006756757,0.025579151,0.11003861,0.001930502,0.00530888,0,0.007239382,0.003861004,0.001930502,0,0.041505792,0.000965251,0.013996139,0.006756757,0.002413127,0.001930502,0.001447876,0.002895753,0.009169884,0.00965251,0.000965251,0.000965251,0.000965251,0.001930502,0,0.006274131,0.005791506,0.000965251,0.026544402,0.256274131,0.00530888,0.005791506,0.004343629,0,0.106177606,0.001447876,0.041023166,0,0.001447876,0.002895753,0.027509653,0.021235521,0.011583012,0.004826255,0,0.011100386,0.008204633,0.000965251
Thorncliffe Park,Toronto,55,21108,5060,0.239719538,130,0.006158802,14190,0.672256964,14030,0.6646769,6825,0.323337123,890,25,110,0,110,10,135,55,0,100,185,150,1285,20,10,20,50,215,45,15,25,10,45,20,110,75,60,15,195,360,85,60,115,130,25,10,15,40,580,10035,1160,385,150,90,1250,40,10,30,60,15,4440,1260,220,170,10,40,710,0,0.042164108,0.001184385,0.005211294,0,0.005211294,0.000473754,0.006395679,0.002605647,0,0.00473754,0.008764449,0.00710631,0.060877392,0.000947508,0.000473754,0.000947508,0.00236877,0.010185712,0.002131893,0.000710631,0.001184385,0.000473754,0.002131893,0.000947508,0.005211294,0.003553155,0.002842524,0.000710631,0.009238204,0.017055145,0.004026909,0.002842524,0.005448171,0.006158802,0.001184385,0.000473754,0.000710631,0.001895016,0.027477734,0.475412166,0.054955467,0.01823953,0.00710631,0.004263786,0.059219253,0.001895016,0.000473754,0.001421262,0.002842524,0.000710631,0.210346788,0.059693007,0.010422589,0.008053818,0.000473754,0.001895016,0.033636536,0
Trinity-Bellwoods,Toronto,81,16556,9035,0.545723605,280,0.016912298,6555,0.395928968,5800,0.350326166,10430,0.629983088,470,55,10,10,30,10,25,10,0,40,160,105,2770,20,10,80,50,10,0,20,230,35,70,1865,20,30,20,20,225,95,0,0,10,20,10,10,0,50,25,2410,0,0,1645,140,55,50,10,0,35,10,10,75,10,10,65,185,125,15,0.0283885,0.003322058,0.000604011,0.000604011,0.001812032,0.000604011,0.001510027,0.000604011,0,0.002416043,0.00966417,0.006342112,0.167310945,0.001208021,0.000604011,0.004832085,0.003020053,0.000604011,0,0.001208021,0.013892245,0.002114037,0.004228074,0.112647983,0.001208021,0.001812032,0.001208021,0.001208021,0.013590239,0.005738101,0,0,0.000604011,0.001208021,0.000604011,0.000604011,0,0.003020053,0.001510027,0.145566562,0,0,0.099359749,0.008456149,0.003322058,0.003020053,0.000604011,0,0.002114037,0.000604011,0.000604011,0.00453008,0.000604011,0.000604011,0.003926069,0.011174197,0.007550133,0.000906016
University,Toronto,79,7607,4405,0.579071907,140,0.018404101,2360,0.310240568,2730,0.358879979,3965,0.521230446,400,35,10,15,0,0,15,30,10,10,195,70,600,0,0,25,10,10,10,20,60,0,55,210,20,10,0,15,110,40,10,0,25,10,0,10,0,10,30,910,0,10,330,60,80,35,0,30,85,10,10,100,0,0,20,45,100,15,0.052583147,0.004601025,0.001314579,0.001971868,0,0,0.001971868,0.003943736,0.001314579,0.001314579,0.025634284,0.009202051,0.078874721,0,0,0.003286447,0.001314579,0.001314579,0.001314579,0.002629157,0.007887472,0,0.007230183,0.027606152,0.002629157,0.001314579,0,0.001971868,0.014460365,0.005258315,0.001314579,0,0.003286447,0.001314579,0,0.001314579,0,0.001314579,0.003943736,0.11962666,0,0.001314579,0.043381096,0.007887472,0.010516629,0.004601025,0,0.003943736,0.011173919,0.001314579,0.001314579,0.013145787,0,0,0.002629157,0.005915604,0.013145787,0.001971868
Victoria Village,Toronto,43,17510,7965,0.454882924,290,0.016561965,7950,0.454026271,7695,0.439463164,9490,0.541976014,1425,0,165,50,235,25,295,20,10,150,115,340,1830,55,25,10,50,520,30,30,140,0,50,25,105,90,60,35,250,355,10,50,100,100,10,0,30,20,790,4800,280,155,350,95,450,240,220,0,95,225,645,1020,300,380,20,55,275,0,0.081382067,0,0.009423187,0.002855511,0.013420902,0.001427756,0.016847516,0.001142204,0.000571102,0.008566533,0.006567676,0.019417476,0.104511708,0.003141062,0.001427756,0.000571102,0.002855511,0.029697316,0.001713307,0.001713307,0.007995431,0,0.002855511,0.001427756,0.005996573,0.00513992,0.003426613,0.001998858,0.014277556,0.020274129,0.000571102,0.002855511,0.005711022,0.005711022,0.000571102,0,0.001713307,0.001142204,0.045117076,0.274129069,0.015990862,0.008852085,0.019988578,0.005425471,0.0256996,0.013706453,0.012564249,0,0.005425471,0.0128498,0.036836094,0.058252427,0.017133067,0.021701885,0.001142204,0.003141062,0.015705311,0
Waterfront Communities-The Island,Toronto,77,65913,39530,0.599729947,1735,0.026322577,22100,0.335290459,17630,0.267473791,48000,0.72823267,3470,235,215,55,225,10,400,245,135,400,740,830,5390,115,110,230,250,165,100,275,170,30,350,200,305,590,275,290,1330,660,30,225,230,150,15,175,95,230,650,13015,50,145,3090,1190,1975,1185,130,170,730,215,600,1005,195,80,330,220,1690,165,0.052645153,0.003565306,0.003261876,0.000834433,0.003413591,0.000151715,0.006068606,0.003717021,0.002048154,0.006068606,0.01122692,0.012592357,0.08177446,0.001744724,0.001668867,0.003489448,0.003792878,0.0025033,0.001517151,0.004172166,0.002579157,0.000455145,0.00531003,0.003034303,0.004627312,0.008951193,0.004172166,0.004399739,0.020178114,0.010013199,0.000455145,0.003413591,0.003489448,0.002275727,0.000227573,0.002655015,0.001441294,0.003489448,0.009861484,0.197457254,0.000758576,0.00219987,0.046879978,0.018054102,0.02996374,0.017978244,0.001972297,0.002579157,0.011075205,0.003261876,0.009102908,0.015247372,0.002958445,0.001213721,0.0050066,0.003337733,0.025639859,0.0025033
West Hill,Toronto,136,27392,16580,0.605286215,360,0.013142523,8895,0.324729848,11625,0.424393984,15340,0.560017523,3865,10,10,80,1090,180,1195,80,25,490,165,525,2025,0,30,30,135,145,120,65,305,20,205,70,65,20,35,30,465,290,10,10,220,50,0,170,100,25,570,6265,270,910,280,70,705,45,0,15,45,10,370,1935,875,25,20,115,525,20,0.141099591,0.00036507,0.00036507,0.002920561,0.03979264,0.006571262,0.043625876,0.002920561,0.000912675,0.017888435,0.006023657,0.01916618,0.073926694,0,0.00109521,0.00109521,0.004928446,0.005293516,0.004380841,0.002372956,0.011134638,0.00073014,0.007483937,0.002555491,0.002372956,0.00073014,0.001277745,0.00109521,0.016975759,0.010587033,0.00036507,0.00036507,0.008031542,0.00182535,0,0.006206192,0.003650701,0.000912675,0.020808995,0.228716414,0.009856893,0.033221379,0.010221963,0.002555491,0.025737442,0.001642815,0,0.000547605,0.001642815,0.00036507,0.013507593,0.070641063,0.031943633,0.000912675,0.00073014,0.004198306,0.01916618,0.00073014
West Humber-Clairville,Toronto,1,33312,14825,0.445034822,185,0.005553554,16280,0.488712776,11445,0.343569885,21430,0.64331172,5370,20,75,170,1895,45,1440,50,45,590,110,935,1795,40,70,30,120,60,50,20,630,10,130,115,30,25,10,20,220,245,15,25,50,65,20,305,270,10,840,10395,175,170,140,40,6525,45,150,20,45,30,505,1265,585,10,30,260,355,65,0.16120317,0.000600384,0.002251441,0.005103266,0.056886407,0.001350865,0.043227666,0.001500961,0.001350865,0.017711335,0.003302113,0.028067963,0.053884486,0.001200768,0.002101345,0.000900576,0.003602305,0.001801153,0.001500961,0.000600384,0.018912104,0.000300192,0.003902498,0.003452209,0.000900576,0.00075048,0.000300192,0.000600384,0.006604227,0.007354707,0.000450288,0.00075048,0.001500961,0.001951249,0.000600384,0.00915586,0.008105187,0.000300192,0.025216138,0.312049712,0.005253362,0.005103266,0.00420269,0.001200768,0.19587536,0.001350865,0.004502882,0.000600384,0.001350865,0.000900576,0.015159702,0.037974304,0.017561239,0.000300192,0.000900576,0.007804995,0.01065682,0.001951249
Westminster-Branson,Toronto,35,26274,7435,0.282979371,240,0.009134506,17180,0.653878359,12345,0.469856132,13720,0.522189237,1085,10,70,45,85,0,290,40,30,40,140,310,7105,25,0,20,125,40,155,0,125,10,280,55,340,2415,100,1780,140,1455,0,85,35,20,185,30,10,60,180,9340,90,10,340,125,210,545,105,10,665,25,90,4870,35,40,10,105,2070,10,0.041295577,0.000380604,0.002664231,0.00171272,0.003235137,0,0.011037528,0.001522418,0.001141813,0.001522418,0.005328462,0.011798736,0.270419426,0.000951511,0,0.000761209,0.004757555,0.001522418,0.005899368,0,0.004757555,0.000380604,0.010656923,0.002093324,0.01294055,0.091915963,0.003806044,0.067747583,0.005328462,0.05537794,0,0.003235137,0.001332115,0.000761209,0.007041181,0.001141813,0.000380604,0.002283626,0.006850879,0.355484509,0.00342544,0.000380604,0.01294055,0.004757555,0.007992692,0.02074294,0.003996346,0.000380604,0.025310193,0.000951511,0.00342544,0.185354343,0.001332115,0.001522418,0.000380604,0.003996346,0.078785111,0.000380604
Weston,Toronto,113,17992,10325,0.573866163,205,0.011393953,6580,0.365718097,8900,0.494664295,8800,0.489106269,3655,165,85,115,245,0,1425,110,80,155,115,1160,1730,10,55,40,40,15,175,20,345,25,60,495,25,40,10,10,165,205,10,10,155,55,10,255,545,10,435,1815,80,40,85,0,90,25,30,20,45,10,60,475,240,45,10,405,165,0,0.203145843,0.009170743,0.004724322,0.00639173,0.013617163,0,0.079201867,0.006113828,0.004446421,0.00861494,0.00639173,0.064473099,0.096153846,0.000555803,0.003056914,0.00222321,0.00222321,0.000833704,0.009726545,0.001111605,0.019175189,0.001389506,0.003334815,0.027512228,0.001389506,0.00222321,0.000555803,0.000555803,0.009170743,0.011393953,0.000555803,0.000555803,0.00861494,0.003056914,0.000555803,0.014172966,0.030291241,0.000555803,0.024177412,0.100878168,0.004446421,0.00222321,0.004724322,0,0.005002223,0.001389506,0.001667408,0.001111605,0.002501112,0.000555803,0.003334815,0.026400622,0.013339262,0.002501112,0.000555803,0.022510004,0.009170743,0
Weston-Pelham Park,Toronto,91,11098,5185,0.467201298,115,0.010362227,5300,0.477563525,4460,0.401874212,6630,0.597404938,1290,105,55,85,100,0,205,75,40,105,50,480,2545,0,25,30,10,95,30,0,405,0,35,1735,0,40,15,15,70,40,0,10,95,0,0,10,50,0,200,1125,0,65,65,10,100,25,15,10,0,0,20,220,15,0,0,430,130,20,0.11623716,0.009461164,0.004955848,0.007659038,0.009010633,0,0.018471797,0.006757974,0.003604253,0.009461164,0.004505316,0.043251036,0.229320598,0,0.002252658,0.00270319,0.000901063,0.008560101,0.00270319,0,0.036493062,0,0.003153721,0.156334475,0,0.003604253,0.001351595,0.001351595,0.006307443,0.003604253,0,0.000901063,0.008560101,0,0,0.000901063,0.004505316,0,0.018021265,0.101369616,0,0.005856911,0.005856911,0.000901063,0.009010633,0.002252658,0.001351595,0.000901063,0,0,0.001802127,0.019823392,0.001351595,0,0,0.03874572,0.011713822,0.001802127
Wexford/Maryvale,Toronto,119,27917,13540,0.485009134,300,0.01074614,12320,0.441308163,10470,0.375040298,17075,0.611634488,1880,10,110,95,475,10,340,75,0,235,125,400,2890,30,35,35,100,850,75,10,375,10,115,95,215,70,50,20,360,465,0,95,115,35,15,20,25,10,335,8450,195,205,1075,125,625,210,115,10,130,335,585,2610,960,345,40,180,715,10,0.067342479,0.000358205,0.003940251,0.003402944,0.017014722,0.000358205,0.012178959,0.002686535,0,0.00841781,0.004477558,0.014328187,0.103521152,0.001074614,0.001253716,0.001253716,0.003582047,0.030447398,0.002686535,0.000358205,0.013432675,0.000358205,0.004119354,0.003402944,0.007701401,0.002507433,0.001791023,0.000716409,0.012895368,0.016656518,0,0.003402944,0.004119354,0.001253716,0.000537307,0.000716409,0.000895512,0.000358205,0.011999857,0.302682953,0.006984991,0.007343196,0.038507003,0.004477558,0.022387792,0.007522298,0.004119354,0.000358205,0.004656661,0.011999857,0.020954974,0.093491421,0.034387649,0.012358061,0.001432819,0.006447684,0.025611634,0.000358205
Willowdale East,Toronto,51,50434,13580,0.269262799,465,0.009219971,34475,0.683566642,21440,0.425110045,28810,0.571241623,1800,100,180,30,115,0,210,125,40,175,335,460,3035,45,45,55,155,90,90,30,195,45,135,30,250,630,70,180,425,565,0,370,25,45,60,25,25,115,365,25150,50,165,6760,2875,1175,6225,95,205,3510,225,295,720,155,80,1065,225,1345,50,0.035690209,0.001982789,0.003569021,0.000594837,0.002280208,0,0.004163858,0.002478487,0.000793116,0.003469881,0.006642344,0.009120831,0.060177658,0.000892255,0.000892255,0.001090534,0.003073324,0.00178451,0.00178451,0.000594837,0.003866439,0.000892255,0.002676766,0.000594837,0.004956973,0.012491573,0.001387953,0.003569021,0.008426855,0.01120276,0,0.007336321,0.000495697,0.000892255,0.001189674,0.000495697,0.000495697,0.002280208,0.007237181,0.498671531,0.000991395,0.003271602,0.134036563,0.057005195,0.023297775,0.123428639,0.00188365,0.004064718,0.069595908,0.004461276,0.005849229,0.014276084,0.003073324,0.001586232,0.021116707,0.004461276,0.026668517,0.000991395
Willowdale West,Toronto,37,16936,5785,0.341580066,140,0.008266415,10390,0.613486065,6505,0.384093056,10230,0.604038734,530,55,50,0,60,0,50,40,30,45,90,130,2020,30,35,30,95,90,80,10,190,35,100,30,105,355,60,170,265,345,0,50,10,15,0,10,0,45,60,6625,30,30,1390,415,315,1675,20,35,1485,15,50,195,55,25,190,85,615,25,0.031294284,0.00324752,0.002952291,0,0.003542749,0,0.002952291,0.002361833,0.001771375,0.002657062,0.005314124,0.007675957,0.119272556,0.001771375,0.002066604,0.001771375,0.005609353,0.005314124,0.004723666,0.000590458,0.011218706,0.002066604,0.005904582,0.001771375,0.006199811,0.020961266,0.003542749,0.010037789,0.015647142,0.020370808,0,0.002952291,0.000590458,0.000885687,0,0.000590458,0,0.002657062,0.003542749,0.391178555,0.001771375,0.001771375,0.082073689,0.024504015,0.018599433,0.098901748,0.001180916,0.002066604,0.087683042,0.000885687,0.002952291,0.011513935,0.00324752,0.001476145,0.011218706,0.005018895,0.036313179,0.001476145
